CCS,Molecular_Weight,LogP,H_Donors,H_Acceptors,Rotatable_Bonds,SMILES,TPSA
188.9,468.1410000000001,-1.0593999999999997,6.0,12.0,8.0,O=c1nc(O)ccn1[C@H]1C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1,244.39999999999995
178.5,468.1410000000001,-1.0593999999999997,6.0,12.0,8.0,O=c1nc(O)ccn1[C@H]1C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1,244.39999999999995
185.1,468.1410000000001,-1.0593999999999997,6.0,12.0,8.0,O=c1nc(O)ccn1[C@H]1C[C@H](O)[C@@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1,244.39999999999995
164.5,307.199,-1.1741299999999997,5.0,8.0,4.0,N=c1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)c(O)n1,158.12
156.6,307.199,-1.1741299999999997,5.0,8.0,4.0,N=c1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)c(O)n1,158.12
163.7,307.199,-1.1741299999999997,5.0,8.0,4.0,N=c1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)c(O)n1,158.12
164.9,307.199,-1.1741299999999997,5.0,8.0,4.0,N=c1ccn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)c(O)n1,158.12
162.8,322.21000000000004,-0.98498,4.0,8.0,4.0,Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)c(=O)nc1O,151.34
167.7,322.21000000000004,-0.98498,4.0,8.0,4.0,Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)c(=O)nc1O,151.34
176.2,322.21000000000004,-0.98498,4.0,8.0,4.0,Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)c(=O)nc1O,151.34
173.5,322.21000000000004,-0.98498,4.0,8.0,4.0,Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)c(=O)nc1O,151.34
163.8,322.21000000000004,-0.98498,4.0,8.0,4.0,Cc1cn([C@H]2C[C@H](O)[C@@H](COP(=O)(O)O)O2)c(=O)nc1O,151.34
162.1,308.183,-1.2934,4.0,8.0,4.0,O=c1nc(O)ccn1[C@H]1C[C@H](O)[C@@H](COP(=O)(O)O)O1,151.34
171.9,308.183,-1.2934,4.0,8.0,4.0,O=c1nc(O)ccn1[C@H]1C[C@H](O)[C@@H](COP(=O)(O)O)O1,151.34
159.2,308.183,-1.2934,4.0,8.0,4.0,O=c1nc(O)ccn1[C@H]1C[C@H](O)[C@@H](COP(=O)(O)O)O1,151.34
